License Number;Entity Name;Camis Trade Name;Address Bldg;Address Street Name;Address Location;Address City
895752;QUACH, KENNY KIET;FRANKLIN LAUNDROMAT;190;FRANKLIN STREET;;BROOKLYN
896625;MADISON CLEANERS 28TH ST CORP;;22;EAST   28 STREET;;NEW YORK
907659;LAMAR HOLDING CORP;-;2463;UNIVERSITY AVENUE;;BRONX
912898;JIFFY-JEFF INC;JIFFY-JEFF;45-07;  28 AVENUE;;QUEENS
916153;BARFIELD REALTY CORP;BARFIELD REALTY;1804;CEDAR AVENUE;;BRONX
920667;LAM, MINH TRIEU;LAM'S LAUNDROMAT;990;CONEY ISLAND AVENUE;;BROOKLYN
921595;THEN, NELSON;THEN'S LAUNDROMAT;134;AUDUBON AVENUE;;NEW YORK
923796;J J CLEANERS & LAUNDROMAT CORP;J J CLEANERS & LAUNDROMAT;339;EAST    5 STREET;;NEW YORK
924980;SUDS R US LAUNDROMAT INC;;60-72A;  72 STREET;;QUEENS
926778;TSARSI, EDDIE;GREGORY'S LAUNDROMAT;1143;OLMSTEAD AVENUE;;BRONX
928698;SALEH, AHMED M;ST. NICHOLAS LAUNDROMAT;275;ST NICHOLAS AVENUE;;NEW YORK
964391;ULTIMATE COIN-OP CORP;;1015;RUTLAND ROAD;;BROOKLYN
965831;LIM, YOUNG O.;YOUNG'S LAUNDROMAT;35-58;  78 STREET;;JACKSON HEIGHTS
970680;2893 LAUNDROMAT CORP;;2893;SEDGWICK AVENUE;;BRONX
972834;LAUNDRY KING OF FLATBUSH INC;;2038;BEDFORD AVENUE;2038/2040;BROOKLYN
974534;NUNEZ, ELENA;NUNEZ SUPER LAUNDRY;2593;   8 AVENUE;2595;NEW YORK
975934;YUSHIN INC;;80-42;JAMAICA AVENUE;;WOODHAVEN
976366;HOM, MUI YUNG;HOM'S LAUNDROMAT;107;MADISON STREET;;NEW YORK
977054;YEN, CHIN MIN;LUCKY LAUNDROMATE;1215;   8 AVENUE;;BROOKLYN
978742;NEW SUNBRIGHT CORP;;21-19;  31 STREET;;QUEENS
999103;AKINS LAUNDROMAT;;298;ALBANY AVENUE;;BROOKLYN
1002992;J.A.J.A. CORPORATION;;1189;WALTON AVENUE;;BRONX
1003135;SUPERIOR SUDS, INC;;99;   5 AVENUE;;BROOKLYN
1003768;GRAND AVENUE LAUNDROMAT INC;;34-15;  30 AVENUE;;QUEENS
1005967;I D A CLEANERS INC;;579;KINGS HIGHWAY;;BROOKLYN
1022945;CATORCE LAUNDROMAT INC;;91-01;SPRINGFIELD BOULEVARD;;QUEENS VILLAGE
1024655;2200-02 FLATBUSH REALTY INC;FLATBUSH & R LAUNDROMAT;2200;FLATBUSH AVENUE;;BROOKLYN
1025040;A.T.& M LAUNDROMAT & SERVICES INC;;1361;WHITE PLAINS ROAD;;BRONX
1026231;CLEANER WASH INC.;;2054;ROCKAWAY PARKWAY;;BROOKLYN
1026234;ITMAM INC;;770;FRANKLIN AVENUE;;BROOKLYN
1031470;65 SUPER LAUNDRY LLC;;2301;  65 STREET;;BROOKLYN
1034668;ORCHARD CLEANER & LAUNDROMAT INC;;28;ORCHARD STREET;;NEW YORK
1037599;FOWLER ROUTE CO., INC;;2152;EAST TREMONT AVENUE;;BRONX
1039565;ZHENG, JIAN ZHONG;ZHENG'S LAUNDROMAT;7605;   5 AVENUE;1ST FLOOR;BROOKLYN
1057492;JODINA HILLSIDE CORP;CLEARVIEW CLEANERS;202-16;HILLSIDE AVENUE;;HOLLIS
404343;GUFRAN LAUNDRETTE INC;;1444;ST JOHN PLACE;;BROOKLYN
424640;ROYAL SUTTON LAUNDROMAT CORP;;1138;   1 AVENUE;;NEW YORK
430336;3267 3RD AVENUE LAUNDROMAT CORP;;3267;   3 AVENUE;;BRONX
442794;ROBINSON, LEROY;MAURICE'S LAUNDROMAT;151;LENOX AVENUE;;NEW YORK
495191;DOW, DANNY H;;2490;WILLIAMSBRIDGE ROAD;;BRONX
621599;GRAHAM, CLINTON;C G LAUNDROMAT;111-58;VAN WYCK EXPRESSWAY;;JAMAICA
628065;BOWNE ST LAUNDROMAT INC;;41-85;BOWNE STREET;;FLUSHING
674798;CHIN, CHOW;;1067;   1 AVENUE;;NEW YORK
761344;TOM, LIN SING;;196;JAMAICA AVENUE;;BKLYN
787923;APOSTOLAKIS, APOSTOLOS;;28-03;  24 AVENUE;;ASTORIA
808700;MINT MAKERS INC;DUTCH GIRL CLEANERS;1082;PARK AVENUE;;NEW YORK
830261;PETZNICK, BRUCE;PARADISE LAUNDROMAT;578;GRAND STREET;;BROOKLYN
832700;YUEN, WANDA B Y;;453;EAST   78 STREET;;NEW YORK
836000;526 COLUMBUS MERCHANTS INC;;526;COLUMBUS AVENUE;;NEW YORK
836456;PARK, HO-CHIN;MAJOR LAUNDRY;2504;EAST TREMONT AVENUE;;BRONX
856416;BROWNE, LAUREL;BROWNE LAUNDRY;110-39;SUTPHIN BOULEVARD;;JAMAICA
857900;FEDERICO, ONOFRIO   ET AL;THE KLEENOFAB       PROCESS;2103;WILLIAMSBRIDGE ROAD;;BRONX
859643;1457 INC;ALL WASHED UP;1457;YORK AVENUE;;NEW YORK
881926;WU, ZHUO LIN;NICE LAUNDROMAT;332-3;HOOPER STREET;;BROOKLYN
884166;DORCE, MCCONNELL;TROY AVE LAUNDROMAT;876;TROY AVENUE;;BROOKLYN
884585;AVENUE A LAUNDRY KING INC;;97;AVENUE A;;NEW YORK
885468;ARNOLD K P CORP;SWANS II CLEANERS;181;SEVENTH AVENUE;;NEW YORK
889721;BERMUDEZ, OLGA;NORTHSIDE LAUNDROMAT;579;DRIGGS AVENUE;;BROOKLYN
889794;FRANCOIS, MARIE P;MARIE P FRANCOIS    LAUNDROMAT;192;HOWARD AVENUE;;BROOKLYN
891384;KEARNEY STREET LAUNDROMAT INC;;100-11;ASTORIA BOULEVARD;;EAST ELMHURST
896319;1605 INC;ALL WASHED UP;1605;   2 AVENUE;;NEW YORK
897977;8107 CLEANERS LTD;PRESTIGE CLEANERS CO;149-03;GUY R BREWER BOULEVARD;;JAMAICA
898696;HAN, CHI-SEI;45 AVE LAUNDRY;143-01;  45 AVENUE;;FLUSHING
905417;JERIC ENTERPRISES INC.;;37-13;DITMARS BOULEVARD;;QUEENS
910205;NEW FERRARI CLEANERS INC.;;35-06;DITMAS BOULEVARD;;ASTORIA
912072;SUPER LAUNDRY OF CRESCENT INC;;38-06;CRESCENT STREET;;QUEENS
912151;CHANG, KUM LING;NEW CONEY ISLAND LAUNDROMAT;2125;CONEY ISLAND AVENUE;;BROOKLYN
